Driver,Year,AvgFinish,Wins,DriverRating,Points,Sponsor_Cost,Social_Impressions,Brand_Mentions,Media_Value,Engagement_Value,ROI,Risk_Score,Return_Score,Risk_Return_Segment,Sponsor_Target_Score,Target_Rank,Sponsor_Target_Category
Erik Jones,2018,14.0,1,84.7,2220,146373,205173,9311,16413.84,23277.5,-0.7288342795460911,0.5450000334248667,0.1702538917480918,High Risk / Low Return,0.4316996757676339,174.0,Low Priority Target
Alex Bowman,2018,17.0,0,77.6,2204,121480,153844,2309,12307.52,5772.5,-0.8511687520579518,0.5722410937158071,0.08030254778247527,High Risk / Low Return,0.21732380791778824,835.0,Low Priority Target
Ryan Newman,2018,17.3,0,74.0,769,109694,187823,3384,15025.84,8460.0,-0.7858967673710504,0.6053977315974743,0.12829640123470384,High Risk / Low Return,0.2577665677707578,702.0,Low Priority Target
Ricky Stenhouse Jr.,2018,19.4,0,71.3,701,93300,92044,1716,7363.52,4290.0,-0.8750962486602357,0.6096856525685987,0.06270889300213946,High Risk / Low Return,0.19869948259467746,900.0,Low Priority Target
Paul Menard,2018,19.4,0,71.1,692,96722,93230,3509,7458.400000000001,8772.5,-0.8321901945782759,0.6134093590207179,0.09425729591497765,High Risk / Low Return,0.3053073190227475,546.0,Low Priority Target
Jamie McMurray,2018,18.9,0,71.5,683,129986,76812,2620,6144.96,6550.0,-0.9023359438708785,0.6428013520554532,0.04267981090368578,High Risk / Low Return,0.2672484883004975,677.0,Low Priority Target
Daniel Su<e1>rez,2018,18.5,0,70.5,674,114160,112782,3920,9022.56,9800.0,-0.8351212333566924,0.6234851302481877,0.09210213170066889,High Risk / Low Return,0.30054238166910846,564.0,Low Priority Target
AJ Allmendinger,2018,21.3,0,59.0,603,53040,193908,9236,15512.64,23090.0,-0.2721975867269985,0.5889478790885032,0.5060143963688104,High Risk / Low Return,0.5197065161713239,56.0,Medium Priority Target
William Byron,2018,22.1,0,68.1,587,76160,117286,4813,9382.880000000001,12032.5,-0.7188106617647059,0.619962687361512,0.1776241600978069,High Risk / Low Return,0.34482751332020456,414.0,Low Priority Target
Chris Buescher,2018,21.0,0,59.3,585,67633,167737,2535,13418.960000000001,6337.5,-0.7078872739638934,0.6015333812770053,0.18565602056334687,High Risk / Low Return,0.23833851665064704,778.0,Low Priority Target
David Ragan,2018,22.9,0,53.5,524,79344,147755,3531,11820.4,8827.5,-0.73976734220609,0.6322199476573899,0.16221491745299405,High Risk / Low Return,0.25848269479936514,698.0,Low Priority Target
Michael McDowell,2018,24.5,0,53.6,493,67014,73466,2014,5877.28,5035.0,-0.8371641746500731,0.6350348047204095,0.09059997690154119,High Risk / Low Return,0.22074730128594489,824.0,Low Priority Target
Ty Dillon,2018,24.1,0,52.4,482,64996,66904,1728,5352.32,4320.0,-0.8511859191334852,0.6297306828078943,0.08028992499934247,High Risk / Low Return,0.20928883342677884,870.0,Low Priority Target
Bubba Wallace,2018,24.5,0,54.8,471,61695,210654,7746,16852.32,19365.0,-0.41296182834913686,0.6303095711977286,0.4025118230039356,High Risk / Low Return,0.4176152489506088,207.0,Low Priority Target
Matt DiBenedetto,2018,27.0,0,46.0,368,52852,163439,7465,13075.12,18662.5,-0.3995001135245591,0.6468510683342458,0.41241009056245426,High Risk / Low Return,0.43884761646025194,160.0,Low Priority Target
Kasey Kahne,2018,22.8,0,55.1,358,66014,172771,3842,13821.68,9605.0,-0.6451255794225468,0.622754306927296,0.23180408216557663,High Risk / Low Return,0.2824690833946217,634.0,Low Priority Target
Trevor Bayne,2018,23.9,0,59.3,287,77042,138628,4446,11090.24,11115.0,-0.7117774720282444,0.6458665018882405,0.18279559588503813,High Risk / Low Return,0.298815374001908,576.0,Low Priority Target
Matt Kenseth,2018,19.9,0,63.8,268,102175,98650,4101,7892.0,10252.5,-0.822417421091265,0.6359271190577059,0.10144312090263963,High Risk / Low Return,0.32658503790557897,474.0,Low Priority Target
Regan Smith,2018,23.0,0,51.3,157,73711,76736,2044,6138.88,5110.0,-0.8473921124391203,0.6382623609439664,0.08307947404383433,High Risk / Low Return,0.22288373913169035,818.0,Low Priority Target
Corey LaJoie,2018,31.5,0,36.7,144,76122,122346,2046,9787.68,5115.0,-0.804226373453141,0.7173646149899872,0.11481882073273592,High Risk / Low Return,0.15427238251345082,996.0,Low Priority Target
Cole Whitt,2018,26.8,0,41.3,132,59160,175628,5092,14050.24,12730.0,-0.5473252197430697,0.6583993038686907,0.30371573235589183,High Risk / Low Return,0.32183777786607365,493.0,Low Priority Target
Gray Gaulding,2018,31.5,0,33.4,119,77213,77615,947,6209.2,2367.5,-0.8889215546604847,0.7192053003688037,0.0525432803998721,High Risk / Low Return,0.09650841991852455,1088.0,Low Priority Target
Jeffrey Earnhardt,2018,30.9,0,35.6,110,89420,143402,6839,11472.16,17097.5,-0.6805003354954149,0.7264216707548234,0.20579336919256866,High Risk / Low Return,0.35068164709286936,390.0,Low Priority Target
Kyle Weatherman,2018,32.3,0,30.9,33,57421,102909,1337,8232.72,3342.5,-0.79841486564149,0.7089243836526005,0.11909196572115281,High Risk / Low Return,0.12718352088332033,1050.0,Low Priority Target
Harrison Rhodes,2018,33.5,0,29.7,24,71400,150161,4135,12012.880000000001,10337.5,-0.6869694677871148,0.7340852136190356,0.20103667934070898,High Risk / Low Return,0.23666980686145794,784.0,Low Priority Target
Blake Jones,2018,30.0,0,34.8,21,83537,187547,5850,15003.76,14625.0,-0.6453217137316398,0.7150280336125124,0.23165986652187098,High Risk / Low Return,0.29477537523234826,592.0,Low Priority Target
Mark Thompson,2018,22.0,0,39.7,15,67727,168775,8339,13502.0,20847.5,-0.4928241321777135,0.6274342646304123,0.34378985025112563,High Risk / Low Return,0.4607775190604301,118.0,Medium Priority Target
Cody Ware,2018,34.5,0,28.0,11,54358,69667,1159,5573.36,2897.5,-0.8441653482468082,0.7262224373285544,0.0854520822694549,High Risk / Low Return,0.11250938330265736,1072.0,Low Priority Target
Derrike Cope,2018,34.7,0,26.4,8,78482,128189,1868,10255.12,4670.0,-0.809827476364007,0.7524832992654694,0.11070038441485112,High Risk / Low Return,0.12737697481490085,1049.0,Low Priority Target
Tanner Berryhill,2018,34.5,0,28.0,7,82117,50486,522,4038.88,1305.0,-0.9349235846414262,0.7543911392173774,0.018718436617339036,High Risk / Low Return,0.05188564630188583,1110.0,Low Priority Target
Chris Cook,2018,31.0,0,33.3,6,73164,101331,1643,8106.4800000000005,4107.5,-0.833060248209502,0.7139633677967606,0.09361755396944092,High Risk / Low Return,0.14061608162083916,1026.0,Low Priority Target
Tomy Drissi,2018,32.0,0,30.3,5,81910,198833,3636,15906.640000000001,9090.0,-0.6948279819313881,0.7318051254384385,0.19525839056947442,High Risk / Low Return,0.21044476179589425,864.0,Low Priority Target
Danica Patrick,2018,35.0,0,40.0,2,82496,193076,6800,15446.08,17000.0,-0.6066951124903025,0.7594089448542436,0.2600616295175416,High Risk / Low Return,0.3009053386691722,562.0,Low Priority Target
Alon Day,2018,38.0,0,25.3,1,79371,102917,1933,8233.36,4832.5,-0.8353824444696426,0.7832037251924936,0.09191006571807067,High Risk / Low Return,0.1174646431706291,1062.0,Low Priority Target
Stanton Barrett,2018,40.0,0,23.3,1,88467,131472,1422,10517.76,3555.0,-0.8409264471497847,0.8103439892631491,0.0878336146426846,High Risk / Low Return,0.07434190253873614,1103.0,Low Priority Target
Hermie Sadler,2018,40.0,0,25.2,1,67625,99877,4301,7990.16,10752.5,-0.7228442144177448,0.7892830609129488,0.17465832818921093,High Risk / Low Return,0.25697585852082644,708.0,Low Priority Target
Brendan Gaughan,2018,18.5,0,59.4,0,103859,108693,2676,8695.44,6690.0,-0.851862236301139,0.6329784808355755,0.07979263558509676,High Risk / Low Return,0.2442029694526176,755.0,Low Priority Target
David Gilliland,2018,14.0,0,50.2,0,140460,106622,2574,8529.76,6435.0,-0.8934589206891642,0.6295793293481717,0.04920699943210088,High Risk / Low Return,0.25356084358146513,717.0,Low Priority Target
D.J. Kennington,2018,26.5,0,39.0,0,81007,77810,1719,6224.8,4297.5,-0.8701062871109904,0.6816813108562041,0.06637796304000512,High Risk / Low Return,0.17662915962030115,950.0,Low Priority Target
Justin Marks,2018,22.3,0,43.3,0,75766,127862,6267,10228.960000000001,15667.5,-0.6582047356333975,0.6386929506985187,0.22218710622293542,High Risk / Low Return,0.40253093985010435,242.0,Low Priority Target
Ross Chastain,2018,28.4,0,39.8,0,89532,172245,2894,13779.6,7235.0,-0.7652839208327749,0.7073471411363248,0.1434528261655027,High Risk / Low Return,0.1954239836333116,913.0,Low Priority Target
Joey Gase,2018,31.1,0,36.5,0,62323,60503,2778,4840.24,6945.0,-0.8109006305858191,0.7040831018323758,0.1099113045868001,High Risk / Low Return,0.28254331332672283,633.0,Low Priority Target
Cole Custer,2018,25.7,0,46.1,0,57843,134761,5534,10780.880000000001,13835.0,-0.5744363190014349,0.6510945045948611,0.2837812056063794,High Risk / Low Return,0.3688620670811206,331.0,Low Priority Target
Timmy Hill,2018,35.7,0,27.2,0,64210,176439,2304,14115.12,5760.0,-0.6904669054664382,0.7472719745229688,0.19846504754117164,High Risk / Low Return,0.15972586556858828,986.0,Low Priority Target
Reed Sorenson,2018,32.6,0,32.5,0,66456,61590,3046,4927.2,7615.0,-0.8112706151438547,0.7217210541155905,0.1096392585513819,High Risk / Low Return,0.29282859368811975,599.0,Low Priority Target
J.J. Yeley,2018,31.0,0,36.8,0,81367,191958,4003,15356.64,10007.5,-0.688274853441813,0.7224297077496034,0.20007684200604306,High Risk / Low Return,0.2280814054104272,809.0,Low Priority Target
Landon Cassill,2018,29.7,0,36.1,0,60106,193938,2704,15515.04,6760.0,-0.6294040528399827,0.6892787114766795,0.24336396725974496,High Risk / Low Return,0.2158457960049725,840.0,Low Priority Target
Chad Finchum,2018,33.0,0,34.1,0,87957,116624,5034,9329.92,12585.0,-0.7508450720238299,0.747037648317447,0.15406957080839162,High Risk / Low Return,0.2911554709978811,605.0,Low Priority Target
Daniel Hemric,2018,27.5,0,52.6,0,52472,190836,7302,15266.880000000001,18255.0,-0.36114727854855916,0.6618209327384909,0.4406105558944825,High Risk / Low Return,0.41715084335694824,208.0,Low Priority Target
Timothy Peters,2018,23.0,0,45.1,0,56704,170356,5909,13628.48,14772.5,-0.49913621613995485,0.6257127710904674,0.3391486365035258,High Risk / Low Return,0.3806958239633573,295.0,Low Priority Target
BJ McLeod,2018,33.5,0,30.2,0,53713,92727,1505,7418.16,3762.5,-0.7918444324465213,0.7169211222857579,0.12392314113874771,High Risk / Low Return,0.13592543084409522,1036.0,Low Priority Target
Parker Kligerman,2018,26.3,0,45.2,0,55051,128471,3743,10277.68,9357.5,-0.6433274599916441,0.6536577922780198,0.23312622183806103,High Risk / Low Return,0.2863837724700529,618.0,Low Priority Target
Garrett Smithley,2018,35.7,0,28.0,0,60756,58068,2393,4645.4400000000005,5982.5,-0.8250717624596747,0.7437816930470265,0.09949140959404804,High Risk / Low Return,0.2309994496910686,802.0,Low Priority Target
Ray Black Jr.,2018,16.0,0,47.5,0,104596,166923,3696,13353.84,9240.0,-0.7839894451030632,0.6112873249884939,0.1296988366877554,High Risk / Low Return,0.27938592032822523,648.0,Low Priority Target
Jesse Little,2018,35.0,0,32.6,0,86378,188367,4232,15069.36,10580.0,-0.7030567968695732,0.7633907801484715,0.18920782323766747,High Risk / Low Return,0.2107831814362272,861.0,Low Priority Target
Spencer Gallagher,2018,35.0,0,27.5,0,54255,61390,621,4911.2,1552.5,-0.8808644364574694,0.7309303540188541,0.058467600797630775,High Risk / Low Return,0.06535420178015046,1107.0,Low Priority Target
Josh Bilicki,2018,36.0,0,30.5,0,64484,156752,2660,12540.16,6650.0,-0.7024043173500403,0.7502411603636286,0.18968758506184452,High Risk / Low Return,0.16886594246868922,963.0,Low Priority Target
David Starr,2018,39.0,0,24.8,0,84503,144754,6516,11580.32,16290.0,-0.670185437203413,0.7973935206876585,0.2133778132595855,High Risk / Low Return,0.2987820703669895,577.0,Low Priority Target
Jeb Burton,2018,33.0,0,30.2,0,58258,125969,3485,10077.52,8712.5,-0.677468845480449,0.7170266843469739,0.20802239422096444,High Risk / Low Return,0.2351287391293969,787.0,Low Priority Target
Martin Truex Jr.,2017,9.4,8,116.1,5040,236831,792370,39118,63389.6,97795.0,-0.31941088793274525,0.3368543557004726,0.471298916673595,Safe but Moderate,0.755254448291989,2.0,High Priority Target
Kyle Busch,2017,11.5,5,108.6,5035,144771,568574,14685,45485.92,36712.5,-0.43221764027325915,0.33782113877835096,0.3883532123837279,Safe but Moderate,0.5309054222446546,50.0,Medium Priority Target
Kevin Harvick,2017,11.1,2,103.1,5033,133861,339271,13098,27141.68,32745.0,-0.5526204047482091,0.398265852488585,0.29982223448910955,Safe but Moderate,0.49783701214535453,74.0,Medium Priority Target
Brad Keselowski,2017,12.4,3,96.3,5030,107771,420649,8950,33651.92,22375.0,-0.4801299050765048,0.35865705184709984,0.3531237915753731,Safe but Moderate,0.4471587256192403,141.0,Low Priority Target
Chase Elliott,2017,12.0,0,96.3,2377,119975,181021,4444,14481.68,11110.0,-0.7866915607418212,0.5207399709164222,0.1277119974243317,High Risk / Low Return,0.31546439349055166,516.0,Low Priority Target
Denny Hamlin,2017,11.6,2,94.9,2353,135648,356905,6291,28552.4,15727.5,-0.673567616183062,0.4836965558073671,0.21089093005728782,High Risk / Low Return,0.3642279175840959,341.0,Low Priority Target
Matt Kenseth,2017,14.3,1,93.5,2344,138285,187345,4474,14987.6,11185.0,-0.8107343529666992,0.5358577857002685,0.11003356689769361,High Risk / Low Return,0.29601139762466144,583.0,Low Priority Target
Kyle Larson,2017,13.3,4,102.3,2320,109063,446958,14253,35756.64,35632.5,-0.34543208970961736,0.423063169548684,0.4521657809076056,High Risk / Low Return,0.5382262960987114,45.0,Medium Priority Target
Ryan Blaney,2017,17.3,1,87.7,2305,92106,307623,15279,24609.84,38197.5,-0.31809719236531825,0.5172684210620296,0.47226486420600694,High Risk / Low Return,0.5724333133473053,32.0,Medium Priority Target
Jimmie Johnson,2017,16.8,3,86.1,2260,114557,291950,10676,23356.0,26690.0,-0.5631345094581737,0.48679687671993016,0.29209131588671117,High Risk / Low Return,0.4416110335557464,151.0,Low Priority Target
Jamie McMurray,2017,14.6,0,86.6,2224,138854,159009,2857,12720.720000000001,7142.5,-0.8569488815590476,0.5676685517478377,0.07605247495963735,High Risk / Low Return,0.24451124080815007,751.0,Low Priority Target
Austin Dillon,2017,18.6,1,70.6,2224,110607,199915,2358,15993.2,5895.0,-0.8021083656549767,0.5500222757602287,0.11637617120037343,High Risk / Low Return,0.21933555170555094,827.0,Low Priority Target
Ricky Stenhouse Jr.,2017,17.1,2,73.5,2222,127599,279168,4202,22333.44,10505.0,-0.7426434376444956,0.5287902825377949,0.16010015254048843,High Risk / Low Return,0.28222379333206693,636.0,Low Priority Target
Kurt Busch,2017,16.5,1,82.0,2217,141920,177037,5754,14162.960000000001,14385.0,-0.7988447012401353,0.5630247427347104,0.1187759117995678,High Risk / Low Return,0.32793539935599886,467.0,Low Priority Target
Kasey Kahne,2017,19.4,1,72.8,2198,118529,188791,7666,15103.28,19165.0,-0.7108869559348345,0.5659747314599596,0.18345038367935718,High Risk / Low Return,0.3798172454643443,299.0,Low Priority Target
Ryan Newman,2017,15.8,1,72.3,2196,125954,247607,11790,19808.56,29475.0,-0.6087177858583293,0.5412290907954426,0.25857437752616336,High Risk / Low Return,0.4772005114426151,97.0,Medium Priority Target
Joey Logano,2017,15.2,1,87.1,930,117856,206732,2198,16538.56,5495.0,-0.8130467689383655,0.5650451419858212,0.10833326999700786,High Risk / Low Return,0.23015450624787276,804.0,Low Priority Target
Clint Bowyer,2017,15.5,0,82.0,871,92573,136336,4214,10906.880000000001,10535.0,-0.768378684929731,0.5689310839384218,0.1411772763220131,High Risk / Low Return,0.3208171301779538,498.0,Low Priority Target
Erik Jones,2017,17.0,0,83.1,863,102808,225611,6505,18048.88,16262.5,-0.6662576842269083,0.5929713648935585,0.21626585169836068,High Risk / Low Return,0.3555466176230083,370.0,Low Priority Target
Daniel Su<e1>rez,2017,16.2,0,73.6,777,125367,163943,5941,13115.44,14852.5,-0.7769114679301571,0.6111273368142226,0.13490320423999325,High Risk / Low Return,0.34995431807072486,392.0,Low Priority Target
Dale Earnhardt Jr.,2017,20.0,0,74.7,668,126801,182021,5894,14561.68,14735.0,-0.7689554498781556,0.6498976262625205,0.140753186683191,High Risk / Low Return,0.3185552816667359,502.0,Low Priority Target
Trevor Bayne,2017,19.5,0,64.8,660,131196,186145,6977,14891.6,17442.5,-0.7535435531571084,0.650087844793113,0.15208540396138348,High Risk / Low Return,0.3518794556780862,384.0,Low Priority Target
Paul Menard,2017,19.6,0,62.1,631,124072,79380,2883,6350.400000000001,7207.5,-0.8907255464568961,0.6446427901887753,0.05121682283432847,High Risk / Low Return,0.27848673497051246,652.0,Low Priority Target
Ty Dillon,2017,20.7,0,60.1,593,65901,169449,2487,13555.92,6217.5,-0.699952656257113,0.5968546482277347,0.19149026754151632,High Risk / Low Return,0.24024276143224,770.0,Low Priority Target
Chris Buescher,2017,21.4,0,57.7,564,83004,135507,5689,10840.56,14222.5,-0.6980499734952532,0.6212756940449717,0.19288929161098214,High Risk / Low Return,0.36392345183400615,344.0,Low Priority Target
Michael McDowell,2017,22.3,0,56.9,542,57446,215154,3212,17212.32,8030.0,-0.5605904675695436,0.6041757892762264,0.2939619250640624,High Risk / Low Return,0.2827563692967887,631.0,Low Priority Target
AJ Allmendinger,2017,22.0,0,58.3,531,87211,189923,7205,15193.84,18012.5,-0.619241380101134,0.6318859579658022,0.25083648136286124,High Risk / Low Return,0.3770254672368933,308.0,Low Priority Target
Danica Patrick,2017,23.8,0,58.8,511,79301,118587,3159,9486.960000000001,7897.5,-0.7807788048070012,0.640637296213406,0.1320595891697914,High Risk / Low Return,0.24837882322375915,735.0,Low Priority Target
Aric Almirola,2017,18.8,0,62.7,502,145961,166184,5077,13294.720000000001,12692.5,-0.8219577832434691,0.6633914718283704,0.10178108812723118,High Risk / Low Return,0.2971844246182275,580.0,Low Priority Target
David Ragan,2017,24.9,0,50.8,447,68752,87272,4026,6981.76,10065.0,-0.7520543402373748,0.6417391391579349,0.15318040769034474,High Risk / Low Return,0.3385281112763484,432.0,Low Priority Target
Landon Cassill,2017,26.5,0,46.7,382,82376,90154,4110,7212.32,10275.0,-0.7877134116733029,0.6717846084125393,0.1269606404050714,High Risk / Low Return,0.3192813709560104,500.0,Low Priority Target
Matt DiBenedetto,2017,27.1,0,44.5,363,66669,129034,5511,10322.72,13777.5,-0.6385093521726739,0.6618582857009152,0.23666892950490936,High Risk / Low Return,0.3517328496106633,385.0,Low Priority Target
Cole Whitt,2017,28.3,0,42.2,322,82916,189656,5766,15172.48,14415.0,-0.6431632013121714,0.6902558675648335,0.23324699964233164,High Risk / Low Return,0.3007171896635257,563.0,Low Priority Target
Gray Gaulding,2017,31.2,0,35.1,164,63395,201584,7952,16126.720000000001,19880.0,-0.4320258695480716,0.7012210402128899,0.3884942195267652,High Risk / Low Return,0.3890685493587481,271.0,Low Priority Target
Reed Sorenson,2017,32.1,0,34.8,150,70421,176778,5394,14142.24,13485.0,-0.6076846395251416,0.7168111719078072,0.25933403994408377,High Risk / Low Return,0.28708453175397697,613.0,Low Priority Target
Jeffrey Earnhardt,2017,33.5,0,30.4,145,76342,166018,7434,13281.44,18585.0,-0.5825831128343506,0.735506114848485,0.27779094759296036,High Risk / Low Return,0.35467193720752194,375.0,Low Priority Target
Derrike Cope,2017,35.1,0,28.2,42,54895,175444,4581,14035.52,11452.5,-0.535695054194371,0.7312342940838819,0.31226727960310485,High Risk / Low Return,0.26776471862530665,675.0,Low Priority Target
Michael Waltrip,2017,8.0,0,72.2,29,168589,67436,3291,5394.88,8227.5,-0.919197693799714,0.6033013065371353,0.030281530708674932,High Risk / Low Return,0.3896661462504135,269.0,Low Priority Target
D.J. Kennington,2017,33.3,0,34.8,17,60699,188772,8927,15101.76,22317.5,-0.3835275704706832,0.7216836395613468,0.42415454561869775,High Risk / Low Return,0.4262806211684363,184.0,Low Priority Target
Boris Said,2017,29.5,0,34.5,15,59715,88783,3521,7102.64,8802.5,-0.7336491668759944,0.6866457973592828,0.16671355207543068,High Risk / Low Return,0.28767713423554814,612.0,Low Priority Target
Billy Johnson,2017,22.0,0,52.1,15,69169,172379,3650,13790.32,9125.0,-0.6687053448799317,0.6288914116739297,0.21446611070311614,High Risk / Low Return,0.2750571339997827,658.0,Low Priority Target
Cody Ware,2017,37.8,0,25.1,6,66163,139751,2133,11180.08,5332.5,-0.7504257666671704,0.7679144689807474,0.15437788194579277,High Risk / Low Return,0.13366665437757164,1040.0,Low Priority Target
Gary Klutt,2017,31.0,0,30.3,6,55782,170443,7531,13635.44,18827.5,-0.4180391524147574,0.6963987839476491,0.3987785161602146,High Risk / Low Return,0.4081793962417706,232.0,Low Priority Target
Alon Day,2017,32.0,0,32.4,5,72641,182811,3036,14624.880000000001,7590.0,-0.6941826241378835,0.7224387620914464,0.1957329158579927,High Risk / Low Return,0.1974283531280726,905.0,Low Priority Target
Kyle Weatherman,2017,34.5,0,27.1,5,68792,75385,3329,6030.8,8322.5,-0.7913521921153622,0.7409852288959302,0.1242850806512391,High Risk / Low Return,0.2657660804695603,682.0,Low Priority Target
Kevin O'Connell,2017,33.0,0,28.0,4,85585,50279,1489,4022.32,3722.5,-0.9095072734708184,0.74452261632722,0.037406802222731496,High Risk / Low Return,0.1626761119046286,977.0,Low Priority Target
Tommy Regan,2017,34.0,0,26.0,3,80682,193307,5076,15464.56,12690.0,-0.6510428596217248,0.7485720022650362,0.2274531637726797,High Risk / Low Return,0.24977380964102636,728.0,Low Priority Target
Hermie Sadler,2017,34.0,0,30.5,3,68880,154949,7147,12395.92,17867.5,-0.5606355981416957,0.7366460318020738,0.2939287409947181,High Risk / Low Return,0.36121432762676486,353.0,Low Priority Target
Joey Gase,2017,30.2,0,34.9,0,88067,197309,6738,15784.720000000001,16845.0,-0.629489820250491,0.7220205986502591,0.2433009033196693,High Risk / Low Return,0.31555071229354814,515.0,Low Priority Target
Corey LaJoie,2017,30.2,0,37.4,0,68073,157507,5207,12600.56,13017.5,-0.6236678271855215,0.7018165778540829,0.24758175801254204,High Risk / Low Return,0.2997462935018117,570.0,Low Priority Target
Brendan Gaughan,2017,15.8,0,60.3,0,106725,189436,6128,15154.880000000001,15320.0,-0.7144541578824081,0.6116438166164018,0.1808274548940968,High Risk / Low Return,0.35616319753095,368.0,Low Priority Target
Elliott Sadler,2017,19.3,0,50.5,0,141226,64883,1612,5190.64,4030.0,-0.9347100392279041,0.6779174781226309,0.018875454476243423,High Risk / Low Return,0.20687914196874307,879.0,Low Priority Target
Timmy Hill,2017,32.6,0,30.2,0,74837,96101,3981,7688.08,9952.5,-0.7642799684647968,0.7301900897409157,0.14419102254566307,High Risk / Low Return,0.27492855003014494,659.0,Low Priority Target
J.J. Yeley,2017,30.0,0,41.8,0,67826,171534,3449,13722.720000000001,8622.5,-0.6705508212190016,0.6997721115240177,0.213109149958139,High Risk / Low Return,0.22795448928367473,810.0,Low Priority Target
Carl Long,2017,33.3,0,30.1,0,74981,134227,6383,10738.16,15957.5,-0.6439676718101919,0.7366176536264806,0.23265548033471692,High Risk / Low Return,0.3443589406112096,415.0,Low Priority Target
Regan Smith,2017,28.0,0,56.9,0,60382,121126,5542,9690.08,13855.0,-0.6100645887847371,0.6743012003770036,0.2575840864757363,High Risk / Low Return,0.36734616646970847,335.0,Low Priority Target
Ryan Sieg,2017,31.6,0,34.0,0,54437,106071,2492,8485.68,6230.0,-0.729675037198964,0.7006014452688076,0.1696356908495842,High Risk / Low Return,0.20204416843022133,895.0,Low Priority Target
Ross Chastain,2017,29.0,0,40.6,0,55435,124763,4888,9981.04,12220.0,-0.5995122215206999,0.6782765951181584,0.2653431391607993,High Risk / Low Return,0.3330537839714747,448.0,Low Priority Target
Bubba Wallace,2017,17.8,0,64.6,0,120987,193309,6365,15464.720000000001,15912.5,-0.7406562688553315,0.644004345338105,0.161561298361463,High Risk / Low Return,0.34321211916431216,418.0,Low Priority Target
Josh Bilicki,2017,36.0,0,27.5,0,86875,196721,4624,15737.68,11560.0,-0.6857821007194245,0.7728673597057903,0.20190973875990825,High Risk / Low Return,0.21779087628135238,832.0,Low Priority Target
BJ McLeod,2017,33.4,0,29.2,0,81982,96154,4763,7692.32,11907.5,-0.7609253250713571,0.7445896293655705,0.14665765910009806,High Risk / Low Return,0.31235688260328637,529.0,Low Priority Target
Stephen Leicht,2017,32.0,0,33.0,0,83328,57016,627,4561.28,1567.5,-0.926449932795699,0.7333856654426429,0.024949030138278056,High Risk / Low Return,0.07212401548824134,1104.0,Low Priority Target
Brett Moffitt,2017,33.7,0,32.9,0,62329,139678,2808,11174.24,7020.0,-0.7080935038264693,0.7274224981908556,0.18550438175767214,High Risk / Low Return,0.18982837115763565,922.0,Low Priority Target
Ray Black Jr.,2017,37.3,0,25.2,0,75169,162056,4991,12964.48,12477.5,-0.6615362716013251,0.7727050643118368,0.21973746033300998,High Risk / Low Return,0.24361054857297526,758.0,Low Priority Target
Mark Thompson,2017,39.0,0,23.7,0,71932,104238,3218,8339.04,8045.0,-0.7722287716176389,0.7846904725017662,0.13834634514741825,High Risk / Low Return,0.18958174735582142,924.0,Low Priority Target
Justin Marks,2017,40.0,0,24.8,0,84594,108608,3644,8688.64,9110.0,-0.7895992623590325,0.8064598355434044,0.12557399279694592,High Risk / Low Return,0.1947174258250931,916.0,Low Priority Target
David Starr,2017,34.0,0,31.5,0,61421,139081,5572,11126.48,13930.0,-0.5920535321795478,0.729197268077675,0.27082744065556896,High Risk / Low Return,0.31802462093238343,506.0,Low Priority Target
Jimmie Johnson,2016,14.0,5,96.1,5040,125796,516901,18060,41352.08,45150.0,-0.31236223727304524,0.34093507412749585,0.47648172072682443,Safe but Moderate,0.579234748643013,29.0,Medium Priority Target
Joey Logano,2016,10.5,3,101.2,5037,114027,392087,13335,31366.96,33337.5,-0.4325514132617713,0.3477207809293458,0.3881077923620477,Safe but Moderate,0.5244818377214358,54.0,Medium Priority Target
Kyle Busch,2016,11.5,4,104.9,5035,119373,456620,5543,36529.6,13857.5,-0.5779020381493302,0.3371563533336534,0.2812328961335092,Safe but Moderate,0.39150668748556083,266.0,Low Priority Target
Carl Edwards,2016,13.9,3,98.0,5007,141833,431121,10804,34489.68,27010.0,-0.5663937165539755,0.4072175513465873,0.2896948527107145,High Risk / Low Return,0.4393459501773018,156.0,Low Priority Target
Matt Kenseth,2016,13.8,2,99.6,2330,126397,319671,6163,25573.68,15407.5,-0.6757741085627033,0.4947711385612585,0.2092685177402741,High Risk / Low Return,0.349589913828406,393.0,Low Priority Target
Denny Hamlin,2016,11.8,3,96.7,2320,110609,335183,6909,26814.64,17272.5,-0.6014145322713341,0.43616387056653383,0.26394438862755776,High Risk / Low Return,0.39027954562586475,267.0,Low Priority Target
Kurt Busch,2016,12.0,1,88.6,2296,125835,279762,9000,22380.96,22500.0,-0.6433348432471093,0.5040533754686874,0.2331207930023592,High Risk / Low Return,0.41991856389018034,203.0,Low Priority Target
Kevin Harvick,2016,9.9,4,106.5,2289,195017,365358,6569,29228.64,16422.5,-0.7659119974156099,0.4803226256546526,0.1429910075825692,High Risk / Low Return,0.35346441637155435,380.0,Low Priority Target
Kyle Larson,2016,14.7,1,87.8,2288,140538,208622,4539,16689.760000000002,11347.5,-0.8005005052014401,0.5433778199187385,0.11755841530324276,High Risk / Low Return,0.2922740709474514,602.0,Low Priority Target
